,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
248,MYASO TA LAVASH,SMB (AM Segment),33.0%,15,0.0%,€8.88,33.0%,12,0.0%,€10.53
249,RESTORAN ARAHVI,SMB (AM Segment),33.0%,9,0.0%,€30.94,33.0%,4,0.0%,€33.55
250,EAT TASTY,SMB (AM Segment),33.0%,1,0.0%,€14.72,33.0%,6,0.0%,€11.85
251,VIETNAMSKA HATA,SMB (AM Segment),33.0%,13,0.0%,€12.72,33.0%,13,0.0%,€16.06
252,PIVNOI FONTAN,SMB (AM Segment),33.0%,1,0.0%,€7.04,33.0%,2,0.0%,€6.33
253,THE TOKYO SUSHI,SMB (AM Segment),33.0%,1,100.0%,€15.46,35.7%,5,100.0%,€23.03
254,PIVBURGER,SMB (AM Segment),33.0%,18,0.0%,€14.34,33.0%,17,0.0%,€13.92
255,MAHAZYN BEER HAPPY,SMB (AM Segment),33.0%,2,0.0%,€7.48,33.0%,2,0.0%,€6.95
256,SULTAN LTS,SMB (AM Segment),33.0%,4,0.0%,€8.78,33.0%,1,0.0%,€6.61
257,AVOKADO,SMB (AM Segment),33.0%,5,0.0%,€15.33,33.0%,5,0.0%,€19.59
258,SORRENTO,SMB (AM Segment),33.0%,5,0.0%,€18.03,33.0%,5,0.0%,€19.57
259,JJ&K,SMB (AM Segment),33.0%,2,0.0%,€7.50,33.0%,2,0.0%,€14.41
260,UKUSY RYBU SUSHI WOK BURGERY,SMB (AM Segment),33.0%,10,0.0%,€26.90,33.0%,4,0.0%,€23.97
261,GOGOPIZZA,SMB (AM Segment),33.0%,1,0.0%,€8.39,30.9%,5,0.0%,€11.78
262,SALVADORE,SMB (AM Segment),33.0%,6,0.0%,€14.37,33.0%,5,0.0%,€17.77
263,DOBA,SMB (AM Segment),33.0%,2,0.0%,€6.35,33.0%,2,0.0%,€8.07
264,OLIO,SMB (AM Segment),33.0%,3,0.0%,€11.93,33.0%,1,0.0%,€30.71
265,NASLEDNIKI,Mid-market (AM Segment),33.0%,59,0.0%,€19.91,33.0%,67,0.0%,€21.81
266,BRAVO BROVARY,SMB (AM Segment),33.0%,1,0.0%,€10.47,,,,
267,TAKAO ROLL,SMB (AM Segment),33.0%,10,0.0%,€19.77,30.5%,20,0.0%,€18.79
268,COOL BEER,SMB (AM Segment),33.0%,1,0.0%,€5.32,33.0%,2,0.0%,€22.27
269,CREATIVESUSHIPIZZA,SMB (AM Segment),33.0%,4,0.0%,€15.33,33.0%,2,0.0%,€7.74
270,SHAURMA STUDNYAK,SMB (AM Segment),33.0%,5,0.0%,€15.78,33.0%,4,0.0%,€23.09
271,SOLOD BEER MARKET,SMB (AM Segment),33.0%,4,0.0%,€8.33,33.0%,8,0.0%,€10.33
272,KUHNIA Z HATY,SMB (AM Segment),33.0%,3,0.0%,€19.55,33.0%,2,0.0%,€8.42
273,BISTRO VYSYVANKA,SMB (AM Segment),33.0%,1,0.0%,€9.10,33.0%,1,0.0%,€19.81
274,ROCK BEER,SMB (AM Segment),33.0%,6,0.0%,€18.17,33.0%,4,0.0%,€12.62
275,TUT ZHYVE PYVO,SMB (AM Segment),33.0%,2,0.0%,€11.10,33.0%,2,0.0%,€7.30
276,MEATDADDY,SMB (AM Segment),33.0%,12,0.0%,€10.63,33.0%,17,0.0%,€10.71
277,SAXAGANSKIY,SMB (AM Segment),33.0%,1,100.0%,€20.48,34.2%,3,100.0%,€18.47
278,TOPIC SNACK 2,SMB (AM Segment),33.0%,8,0.0%,€9.54,33.0%,9,0.0%,€13.86
279,HRUZYNSKYJ SMAK,SMB (AM Segment),33.0%,1,0.0%,€14.85,33.0%,2,0.0%,€17.00
280,COFFEE&BRUNCH,SMB (AM Segment),33.0%,2,0.0%,€7.99,33.0%,3,0.0%,€22.95
281,FERMALI TANTUNI,SMB (AM Segment),33.0%,5,0.0%,€11.74,33.0%,2,0.0%,€16.22
282,VINNYTSKE PUVO 3,SMB (AM Segment),33.0%,7,0.0%,€8.39,33.0%,9,0.0%,€8.06
283,CHEKCHEBUREK,SMB (AM Segment),33.0%,3,0.0%,€9.78,32.3%,7,0.0%,€14.27
284,PYRIZHKY YAK U DYTYNSTVI,SMB (AM Segment),33.0%,6,0.0%,€14.10,33.0%,6,0.0%,€11.62
285,AKULA,SMB (AM Segment),33.0%,7,0.0%,€17.16,33.0%,9,0.0%,€16.81
286,PIE AND FRIENDS,SMB (AM Segment),33.0%,9,0.0%,€12.88,33.0%,5,0.0%,€10.54
287,BEST KEBAB,SMB (AM Segment),33.0%,9,100.0%,€10.93,33.6%,15,100.0%,€8.59
288,MORAY RESORT,SMB (AM Segment),33.0%,1,0.0%,€21.58,33.0%,1,0.0%,€36.01
289,NAM SUSHI,SMB (AM Segment),33.0%,2,100.0%,€11.53,34.4%,7,100.0%,€19.60
290,GOLDEN SHAMPUR,SMB (AM Segment),33.0%,4,0.0%,€22.97,33.0%,6,0.0%,€28.51
291,DONER OK POLTAVA,SMB (AM Segment),33.0%,1,0.0%,€8.81,,,,
292,BAR SQUARE 59,SMB (AM Segment),33.0%,3,0.0%,€15.80,33.0%,7,0.0%,€20.70
293,JUNGLE COFFEE,SMB (AM Segment),33.0%,6,0.0%,€9.57,33.0%,3,0.0%,€13.74
294,KFOOD,SMB (AM Segment),33.0%,13,0.0%,€19.51,33.0%,2,0.0%,€13.69
295,NORI ROLL,SMB (AM Segment),33.0%,1,0.0%,€18.42,33.0%,3,0.0%,€11.22
296,KAVOZHER,SMB (AM Segment),33.0%,2,0.0%,€13.03,33.0%,3,0.0%,€13.40
297,BRO-BEER,SMB (AM Segment),33.0%,6,0.0%,€8.92,33.0%,4,0.0%,€11.28
298,BUSHE,SMB (AM Segment),33.0%,6,0.0%,€7.98,33.0%,7,0.0%,€9.11
299,DINECRAFT,SMB (AM Segment),33.0%,4,0.0%,€12.11,33.0%,1,0.0%,€15.11
300,YE KEBAB,SMB (AM Segment),33.0%,4,0.0%,€5.91,33.0%,3,0.0%,€9.20
301,CRISPY PLACE,SMB (AM Segment),33.0%,2,100.0%,€14.77,33.8%,6,100.0%,€12.55
302,SUSHI Z LUBOVYU,SMB (AM Segment),33.0%,2,0.0%,€23.55,31.4%,5,0.0%,€16.93
303,PAB BISON,SMB (AM Segment),33.0%,1,0.0%,€21.46,,,,
304,ROMA VDOMA,SMB (AM Segment),33.0%,4,0.0%,€13.03,33.0%,6,0.0%,€14.62
305,NI HAO,SMB (AM Segment),33.0%,6,0.0%,€22.43,33.0%,10,0.0%,€18.81
306,KAFE U MICHALYCHA,SMB (AM Segment),33.0%,3,0.0%,€19.78,33.0%,3,0.0%,€22.63
307,RESTOBAR FRESH,SMB (AM Segment),33.0%,6,0.0%,€13.82,32.7%,9,0.0%,€13.37
308,FRENCH COFFEE ODESSA,SMB (AM Segment),33.0%,2,0.0%,€6.25,33.0%,5,0.0%,€12.56
309,DYADYA CHEBUREK,SMB (AM Segment),33.0%,1,100.0%,€15.93,22.2%,3,100.0%,€12.76
310,SUSHI QA,SMB (AM Segment),33.0%,1,0.0%,€33.57,33.0%,1,0.0%,€41.92
311,AJSHASHLIKYAN,SMB (AM Segment),33.0%,3,100.0%,€19.41,36.0%,1,100.0%,€15.28
312,VOKA VOKA,SMB (AM Segment),33.0%,2,100.0%,€12.28,32.2%,4,100.0%,€10.74
313,BAKERBOND,SMB (AM Segment),33.0%,4,100.0%,€15.16,33.1%,4,100.0%,€15.50
314,SITA RESTA,SMB (AM Segment),32.9%,13,100.0%,€12.13,33.3%,5,100.0%,€12.85
315,VINNYTSKE PUVO,SMB (AM Segment),32.9%,70,0.0%,€10.44,32.6%,51,0.0%,€9.77
316,SISI,SMB (AM Segment),32.9%,6,100.0%,€19.64,29.2%,17,100.0%,€29.06
317,BISTRO PERFETTO,SMB (AM Segment),32.9%,29,0.0%,€13.16,32.7%,29,0.0%,€11.04
318,KAFE HRUZYNSKOI KUKHNI GAGRA,SMB (AM Segment),32.9%,5,100.0%,€11.64,30.6%,9,100.0%,€21.33
319,MLUNTSI DIRECT,SMB (AM Segment),32.9%,6,0.0%,€12.58,,,,
320,CHEESE AND LAVASH,SMB (AM Segment),32.9%,6,100.0%,€10.53,30.5%,8,100.0%,€12.48
321,KRAFT BURGER,SMB (AM Segment),32.9%,36,100.0%,€16.16,33.0%,32,100.0%,€18.01
322,RESTORAN KAKTUS,SMB (AM Segment),32.9%,11,100.0%,€13.30,31.5%,14,100.0%,€13.60
323,PIZZAFAMILY625,SMB (AM Segment),32.9%,4,100.0%,€11.40,30.0%,8,100.0%,€12.07
324,PASHTET,SMB (AM Segment),32.9%,38,100.0%,€21.70,32.6%,39,100.0%,€19.74
325,CHAS SHAURMY,Mid-market (AM Segment),32.8%,65,100.0%,€11.41,32.7%,39,100.0%,€10.95
326,TRE POISTY,SMB (AM Segment),32.8%,6,100.0%,€10.53,32.0%,3,100.0%,€11.91
327,SMACHNO BOX,SMB (AM Segment),32.8%,3,100.0%,€13.26,30.7%,3,100.0%,€16.30
328,REMESLO BREWERY,Enterprise (AM Segment),32.8%,98,44.4%,€14.87,33.1%,121,37.4%,€14.34
329,BUDU TVOIM KHLIBOM,SMB (AM Segment),32.8%,43,100.0%,€12.38,32.4%,41,100.0%,€12.04
330,BLACK FOOD,SMB (AM Segment),32.8%,95,0.0%,€9.93,31.7%,79,0.0%,€11.17
331,BENE,SMB (AM Segment),32.8%,33,100.0%,€17.68,32.8%,36,100.0%,€17.63
332,SHAURMA BURHERY,SMB (AM Segment),32.8%,29,0.0%,€11.48,30.3%,44,0.0%,€12.66
333,ASIA CH,SMB (AM Segment),32.8%,44,0.0%,€16.10,33.0%,47,0.0%,€18.40
334,PODSHOFFE,SMB (AM Segment),32.8%,6,100.0%,€14.74,33.8%,6,100.0%,€21.21
335,SALTIVSKYI CHEBUREK,Mid-market (AM Segment),32.8%,17,100.0%,€12.73,32.3%,18,100.0%,€16.51
336,SHAURMA 1,SMB (AM Segment),32.8%,14,0.0%,€7.05,32.6%,24,0.0%,€7.11
337,SHAURMA HYPE,SMB (AM Segment),32.8%,25,0.0%,€8.13,33.0%,7,0.0%,€10.63
338,LUNCH WAY,SMB (AM Segment),32.8%,9,100.0%,€10.83,32.6%,11,100.0%,€15.26
339,GRILLHUB,SMB (AM Segment),32.7%,10,100.0%,€11.25,30.0%,13,100.0%,€10.65
340,GOOD BEER,Mid-market (AM Segment),32.7%,18,0.0%,€12.64,32.6%,21,0.0%,€12.50
341,PYANA KACHKA,SMB (AM Segment),32.7%,7,100.0%,€19.81,31.2%,4,100.0%,€16.75
342,RESTORAN 19T,SMB (AM Segment),32.7%,3,100.0%,€17.76,36.0%,2,100.0%,€23.32
343,KONSERVATORIIA PYVA,SMB (AM Segment),32.7%,4,100.0%,€23.14,31.4%,4,100.0%,€29.52
344,GRILL HOUSE,SMB (AM Segment),32.7%,16,100.0%,€10.57,32.8%,19,100.0%,€10.46
345,WOK’N’ROLL RV,SMB (AM Segment),32.7%,5,0.0%,€15.50,33.0%,4,0.0%,€18.01
346,FIRST WAVE,SMB (AM Segment),32.7%,16,100.0%,€16.45,33.2%,12,100.0%,€14.09
347,SHAURMA 88 CAFEBISTRO,SMB (AM Segment),32.6%,31,100.0%,€10.66,32.6%,32,100.0%,€11.76
348,4 CHEESE PIZZA AND CROISSANTS,SMB (AM Segment),32.6%,4,100.0%,€13.41,33.2%,4,100.0%,€16.68
349,DONUTS CLUB,SMB (AM Segment),32.6%,8,100.0%,€12.83,32.7%,10,95.5%,€7.94
350,PYVNE REMESLO,Enterprise (AM Segment),32.6%,65,0.0%,€12.29,32.4%,78,0.0%,€12.64
351,TATSYA RIVNE,SMB (AM Segment),32.6%,4,100.0%,€10.15,32.1%,17,100.0%,€19.94
352,MARLIN,SMB (AM Segment),32.6%,6,100.0%,€19.84,32.3%,13,100.0%,€23.22
353,PABRESTORACIYA KIN U PROTIHAZI,SMB (AM Segment),32.5%,4,100.0%,€14.53,30.8%,5,100.0%,€14.36
354,BIG.TATO.DNIPRO,SMB (AM Segment),32.5%,6,0.0%,€14.60,33.9%,12,0.0%,€13.20
355,HUM HUM,SMB (AM Segment),32.5%,35,100.0%,€15.60,32.6%,50,100.0%,€15.94
356,FAINE BISTRO,SMB (AM Segment),32.5%,18,100.0%,€14.57,31.5%,20,100.0%,€12.06
357,SHAU SHAU,SMB (AM Segment),32.5%,8,100.0%,€8.24,28.0%,9,100.0%,€9.58
358,MON CHER,Mid-market (AM Segment),32.5%,133,100.0%,€14.03,32.1%,148,100.0%,€14.43
359,BLUE CUP COFFEE SHOP,SMB (AM Segment),32.5%,14,100.0%,€12.17,33.4%,13,100.0%,€16.66
360,ARISTO,SMB (AM Segment),32.5%,4,100.0%,€14.17,32.0%,1,100.0%,€21.08
361,SMAK SVITU,SMB (AM Segment),32.4%,5,0.0%,€12.42,33.0%,2,0.0%,€11.67
362,TOOMAN DELIVERY,Mid-market (AM Segment),32.4%,124,100.0%,€13.29,30.1%,141,100.0%,€14.30
363,SMAKOTA,SMB (AM Segment),32.4%,23,100.0%,€18.57,33.4%,40,100.0%,€19.08
364,KOMETA,SMB (AM Segment),32.4%,19,100.0%,€19.03,31.3%,16,100.0%,€21.14
365,RESTORANBROVARNYA STARHOROD,SMB (AM Segment),32.4%,5,100.0%,€15.80,32.0%,3,100.0%,€22.01
366,DONER HOUSE 24,SMB (AM Segment),32.4%,22,100.0%,€10.73,31.6%,31,100.0%,€11.25
367,RIVA DEL MARE,SMB (AM Segment),32.4%,1,100.0%,€15.64,,,,
368,DIUKIVSKA SHAURMA,SMB (AM Segment),32.4%,7,100.0%,€10.93,32.8%,5,100.0%,€7.43
369,ARISTOKRAT,Mid-market (AM Segment),32.4%,94,100.0%,€13.44,32.0%,88,100.0%,€16.25
370,SPILNOTA KAFE,SMB (AM Segment),32.4%,21,100.0%,€15.77,33.0%,28,100.0%,€16.08
371,AKI MAKI SUSHI,SMB (AM Segment),32.3%,4,100.0%,€17.10,33.9%,5,100.0%,€14.12
372,BURGER CITY KYIV,SMB (AM Segment),32.3%,8,0.0%,€17.71,32.4%,6,0.0%,€16.77
373,GEORGIA TIME,SMB (AM Segment),32.3%,4,0.0%,€20.73,32.1%,9,0.0%,€26.92
374,EON ETERNAL,SMB (AM Segment),32.3%,4,0.0%,€22.39,33.0%,7,0.0%,€17.27
375,ONE GOGI,Mid-market (AM Segment),32.2%,54,0.0%,€16.44,32.2%,58,0.0%,€17.79
376,GAZDA CAFE,SMB (AM Segment),32.2%,6,100.0%,€10.06,28.0%,3,100.0%,€18.18
377,SOLOD BEER MARKET 1,SMB (AM Segment),32.2%,5,0.0%,€11.35,33.0%,10,0.0%,€9.08
378,MEHAMIT,SMB (AM Segment),32.2%,5,0.0%,€11.68,33.0%,3,0.0%,€8.61
379,HLIB I MYASO,SMB (AM Segment),32.2%,8,0.0%,€17.71,28.6%,20,0.0%,€21.31
380,URBAN CHERKASY,SMB (AM Segment),32.2%,20,0.0%,€9.56,32.4%,16,0.0%,€9.66
381,PERSHA SHAURMA NA VUHILLI,Mid-market (AM Segment),32.1%,184,72.7%,€13.51,32.2%,208,78.2%,€12.82
382,BRITTEN CAFE,SMB (AM Segment),32.1%,6,0.0%,€12.89,33.2%,11,0.0%,€14.61
383,IMPERO RESTO,SMB (AM Segment),32.1%,7,100.0%,€20.93,31.3%,6,100.0%,€31.68
384,GRILL PUB KV,SMB (AM Segment),32.1%,5,100.0%,€13.94,36.0%,3,100.0%,€11.25
385,PYROHY TA DRUZI,SMB (AM Segment),32.1%,1,100.0%,€36.70,36.0%,1,100.0%,€8.22
386,BLACK AND WHITE,SMB (AM Segment),32.1%,8,22.8%,€13.79,31.2%,8,42.6%,€14.97
387,NEW YORK,SMB (AM Segment),32.1%,10,0.0%,€15.15,31.7%,15,0.0%,€12.73
388,TORT I LA PIZZA,SMB (AM Segment),32.0%,6,100.0%,€12.01,32.4%,1,100.0%,€16.56
389,SEOUL STATION,SMB (AM Segment),32.0%,30,100.0%,€15.61,32.2%,37,100.0%,€14.73
390,MOVA BAR 2,SMB (AM Segment),32.0%,12,100.0%,€18.16,30.6%,14,100.0%,€20.62
391,VIKTORY FOOD BEER,SMB (AM Segment),32.0%,2,0.0%,€18.20,35.0%,1,0.0%,€17.48
392,482PIZZA,SMB (AM Segment),32.0%,1,0.0%,€8.80,32.0%,2,0.0%,€28.23
393,CRAFT BAZAR,SMB (AM Segment),32.0%,1,0.0%,€11.55,32.0%,1,0.0%,€9.37
394,CHEF'S LAB,SMB (AM Segment),32.0%,1,0.0%,€11.08,,,,
395,DESUSHI,SMB (AM Segment),32.0%,4,0.0%,€16.33,32.0%,4,0.0%,€30.53
396,MYBIGROLL,SMB (AM Segment),32.0%,1,0.0%,€47.92,32.0%,3,0.0%,€18.53
397,KRUTOPIZZA DNIPRO,SMB (AM Segment),32.0%,2,0.0%,€15.27,32.0%,1,0.0%,€7.96
398,SENDVISRBAR HEATHROW,SMB (AM Segment),32.0%,2,0.0%,€14.17,32.0%,1,0.0%,€7.10
399,RUKOLA PIZZA,SMB (AM Segment),32.0%,2,0.0%,€5.63,,,,
400,V.I.P DRAGON ROLLS,SMB (AM Segment),32.0%,1,0.0%,€66.18,32.0%,2,0.0%,€25.61
401,YAN SUSHI,SMB (AM Segment),32.0%,1,0.0%,€30.18,,,,
402,KOMITAT GRILL,SMB (AM Segment),32.0%,3,0.0%,€21.58,32.0%,7,0.0%,€23.39
403,PIZZAS,SMB (AM Segment),32.0%,2,0.0%,€7.13,32.0%,1,0.0%,€11.32
404,BRATER BAR,SMB (AM Segment),32.0%,5,0.0%,€12.06,32.0%,4,0.0%,€11.60
405,DOBRYNIA ODESA,SMB (AM Segment),32.0%,1,0.0%,€12.20,32.0%,2,0.0%,€19.12
406,SOVASH,SMB (AM Segment),32.0%,14,0.0%,€10.08,32.0%,14,0.0%,€13.15
407,SHAURMA DNIPRO,SMB (AM Segment),32.0%,5,0.0%,€12.31,32.0%,14,0.0%,€7.80
408,JERKINS AND BEER,SMB (AM Segment),32.0%,8,0.0%,€11.40,32.0%,12,0.0%,€10.12
409,SHASHLYCHNA 0085,SMB (AM Segment),32.0%,8,0.0%,€20.99,32.0%,9,0.0%,€21.94
410,BOURBON,SMB (AM Segment),32.0%,3,0.0%,€28.46,32.0%,3,0.0%,€20.53
411,MEIWEI,SMB (AM Segment),32.0%,2,100.0%,€14.46,27.0%,2,58.2%,€9.91
412,BEERSHOP KRUZHKA,SMB (AM Segment),32.0%,1,0.0%,€5.88,32.0%,4,0.0%,€9.39
413,NINO,SMB (AM Segment),32.0%,2,100.0%,€35.38,32.4%,9,100.0%,€32.75
414,DUO IRPIN,SMB (AM Segment),32.0%,16,0.0%,€10.34,32.0%,25,0.0%,€11.73
415,BROOKLYN,SMB (AM Segment),32.0%,9,0.0%,€14.70,32.0%,10,0.0%,€25.49
416,DARK SIDE,SMB (AM Segment),32.0%,2,100.0%,€13.02,22.9%,8,100.0%,€25.07
417,YISTETYKA VARSHAVSKYI,SMB (AM Segment),32.0%,7,0.0%,€34.61,32.0%,11,0.0%,€23.16
418,LOFT2022,SMB (AM Segment),32.0%,1,0.0%,€24.12,32.0%,1,0.0%,€34.44
419,BEERBERSHOP,SMB (AM Segment),32.0%,3,0.0%,€9.23,32.0%,5,0.0%,€6.57
420,DOVAS PIZZA,SMB (AM Segment),32.0%,10,0.0%,€19.25,32.0%,8,0.0%,€12.44
421,PYVO TUTA,SMB (AM Segment),32.0%,15,0.0%,€8.92,32.0%,9,0.0%,€8.50
422,VIAMOR,SMB (AM Segment),32.0%,2,0.0%,€10.70,32.0%,1,0.0%,€5.36
423,DYNAMO,SMB (AM Segment),32.0%,4,0.0%,€16.71,32.0%,4,0.0%,€19.01
424,SHATO,SMB (AM Segment),32.0%,1,0.0%,€8.76,32.0%,3,0.0%,€22.21
425,TANDEM PYVOMARKET,Enterprise (AM Segment),32.0%,9,0.0%,€7.34,32.0%,2,0.0%,€6.80
426,BEERROOM,Mid-market (AM Segment),32.0%,15,0.0%,€11.49,32.0%,11,0.0%,€8.81
427,SEIM,SMB (AM Segment),32.0%,8,0.0%,€8.66,32.0%,7,0.0%,€8.52
428,404,SMB (AM Segment),32.0%,2,0.0%,€10.49,32.0%,2,0.0%,€9.41
429,BLANKA BAKERY,SMB (AM Segment),32.0%,22,0.0%,€15.04,32.0%,18,0.0%,€15.49
430,CAFE REDI,SMB (AM Segment),32.0%,3,0.0%,€15.36,32.0%,5,0.0%,€20.36
431,ADMIRAL,SMB (AM Segment),32.0%,16,0.0%,€15.06,32.0%,7,0.0%,€17.78
432,FELICHE,SMB (AM Segment),32.0%,8,0.0%,€15.50,32.0%,3,0.0%,€16.36
433,DELI PIZZA,SMB (AM Segment),32.0%,1,100.0%,€6.16,32.0%,1,100.0%,€16.52
434,KAVKAZKA VYPICHKA,SMB (AM Segment),32.0%,4,0.0%,€12.70,32.0%,3,0.0%,€7.27
435,BOTANIKA,SMB (AM Segment),32.0%,1,0.0%,€10.23,32.0%,1,0.0%,€9.09
436,JUST PIZZA,SMB (AM Segment),32.0%,1,0.0%,€10.45,32.0%,4,0.0%,€19.07
437,SHAURMA PO-TURETSKY,SMB (AM Segment),32.0%,8,0.0%,€10.75,32.0%,8,0.0%,€7.32
438,PIZZA FAMILY,SMB (AM Segment),32.0%,7,0.0%,€12.95,32.0%,5,0.0%,€13.08
439,TIM'S,SMB (AM Segment),32.0%,3,0.0%,€16.35,32.0%,3,0.0%,€19.30
440,ZONA KOMFORTU,SMB (AM Segment),32.0%,3,0.0%,€17.03,32.0%,3,0.0%,€32.34
441,COFFEEOK,SMB (AM Segment),32.0%,1,0.0%,€10.22,32.0%,2,0.0%,€8.77
442,SISTERS CAFE,SMB (AM Segment),32.0%,4,0.0%,€12.76,32.0%,10,0.0%,€21.71
443,MAEMO PROSTIR,SMB (AM Segment),32.0%,2,0.0%,€13.63,32.0%,2,0.0%,€11.32
444,BEER EMPORIUM,SMB (AM Segment),32.0%,10,0.0%,€9.29,32.0%,9,0.0%,€9.88
445,SHAURMA 5 STARS ZP,SMB (AM Segment),32.0%,1,0.0%,€11.34,32.0%,3,0.0%,€8.12
446,SHAURMATUR,SMB (AM Segment),32.0%,2,0.0%,€12.50,32.0%,3,0.0%,€10.93
447,BISTRO BENCH,SMB (AM Segment),32.0%,47,0.0%,€17.25,32.0%,40,0.0%,€15.95
448,TBILISURI SHAURMA,SMB (AM Segment),32.0%,14,0.0%,€15.95,32.0%,18,0.0%,€14.86
449,LIPYMO TA VARYMO BY SAMA LIPYLA,SMB (AM Segment),32.0%,8,0.0%,€14.43,32.0%,8,0.0%,€11.09
450,DUNA,SMB (AM Segment),32.0%,1,0.0%,€8.59,,,,
451,FAMILY SUSHI_PITSA_VOK,SMB (AM Segment),32.0%,3,0.0%,€20.13,32.0%,5,0.0%,€29.09
452,FOLKS PIZZA,Mid-market (AM Segment),32.0%,1,0.0%,€17.25,32.0%,2,0.0%,€11.79
453,GHOST GARDEN,SMB (AM Segment),32.0%,4,0.0%,€23.15,32.0%,2,0.0%,€17.40
454,GTB,SMB (AM Segment),32.0%,19,0.0%,€16.23,31.2%,18,0.0%,€13.65
455,HLIBNA KISHENYA LANCHBURGER,SMB (AM Segment),32.0%,1,0.0%,€11.14,,,,
456,MYASOEDOV,SMB (AM Segment),32.0%,8,0.0%,€23.44,32.0%,8,0.0%,€22.98
457,"RESTORAN ""MISTO""",SMB (AM Segment),32.0%,3,0.0%,€18.08,32.0%,3,0.0%,€16.47
458,SMART BURGER,SMB (AM Segment),32.0%,4,100.0%,€15.73,30.4%,6,100.0%,€17.66
459,TACO DELIVERY,SMB (AM Segment),32.0%,4,0.0%,€21.30,28.4%,3,0.0%,€16.75
460,TEPLO COFFEEFOOD,SMB (AM Segment),32.0%,1,0.0%,€10.27,32.0%,1,0.0%,€5.40
461,YEMLYNETS,SMB (AM Segment),32.0%,31,0.0%,€14.12,32.0%,29,0.0%,€13.36
462,SHIBO,SMB (AM Segment),32.0%,16,0.0%,€19.31,32.0%,21,0.0%,€22.31
463,BREWLOVE,SMB (AM Segment),32.0%,2,0.0%,€15.88,32.0%,2,0.0%,€11.70
464,LEVOVA PALYANYCYA,SMB (AM Segment),32.0%,2,100.0%,€31.01,36.0%,1,100.0%,€10.86
465,DRAFT & CRAFT BEER SHOP,SMB (AM Segment),32.0%,2,0.0%,€15.40,,,,
466,GOMIN,Mid-market (AM Segment),32.0%,3,0.0%,€17.80,27.0%,1,0.0%,€27.07
467,UZSHAYRMA,SMB (AM Segment),32.0%,11,0.0%,€8.87,32.0%,20,0.0%,€8.45
468,CRAFT BEER DNIPRO,SMB (AM Segment),32.0%,9,0.0%,€9.47,32.0%,14,0.0%,€9.96
469,KRIMSKI CHEBUREKY,SMB (AM Segment),32.0%,21,0.0%,€13.50,32.0%,18,0.0%,€12.23
470,KIM CAFE,SMB (AM Segment),32.0%,9,0.0%,€15.61,32.0%,5,0.0%,€13.05
471,KLAVA,SMB (AM Segment),32.0%,2,0.0%,€9.40,32.0%,5,0.0%,€9.41
472,NOTONLYCAKE,SMB (AM Segment),32.0%,1,0.0%,€5.39,32.0%,3,0.0%,€18.24
473,JAVELIN FOOD,SMB (AM Segment),32.0%,20,0.0%,€11.78,31.6%,15,0.0%,€11.96
474,SHASHLYKIF,SMB (AM Segment),32.0%,3,0.0%,€17.91,32.0%,1,0.0%,€15.72
475,KURULTAI,SMB (AM Segment),32.0%,5,0.0%,€21.43,32.0%,5,0.0%,€17.94
476,LAVR REST KHM,SMB (AM Segment),32.0%,4,0.0%,€10.27,32.0%,10,0.0%,€15.49
477,REEF SUSHI,SMB (AM Segment),32.0%,13,0.0%,€31.73,32.0%,10,0.0%,€39.47
478,FRENCH VACATIONS,SMB (AM Segment),32.0%,1,0.0%,€10.76,32.0%,2,0.0%,€32.14
479,AMO SUSHI,SMB (AM Segment),32.0%,9,0.0%,€17.78,32.0%,11,0.0%,€20.02
480,PRUTEN,SMB (AM Segment),32.0%,2,0.0%,€13.25,32.0%,2,0.0%,€15.32
481,"RESTORAN "" SEHED""",SMB (AM Segment),32.0%,1,0.0%,€24.07,32.0%,2,0.0%,€13.19
482,BEER MAX,SMB (AM Segment),32.0%,2,0.0%,€9.73,32.0%,1,0.0%,€6.90
483,PARK ARTOFREST,SMB (AM Segment),32.0%,1,100.0%,€43.82,36.0%,2,100.0%,€36.39
484,INSTA SUSHI,SMB (AM Segment),32.0%,1,0.0%,€33.38,32.0%,3,0.0%,€20.13
485,LIPLIP,SMB (AM Segment),32.0%,5,0.0%,€24.01,32.0%,1,0.0%,€7.59
486,YISTETYKA PREDSLAVYNSKA,SMB (AM Segment),32.0%,9,0.0%,€18.37,31.3%,11,0.0%,€22.01
487,FOODTIME,SMB (AM Segment),32.0%,5,0.0%,€8.51,32.0%,11,0.0%,€8.88
488,NICE,SMB (AM Segment),32.0%,3,0.0%,€26.29,30.2%,5,0.0%,€11.94
489,DOMASHKA CAFE,SMB (AM Segment),32.0%,4,100.0%,€10.04,32.0%,1,100.0%,€17.78
490,SASHIMI SUSHI&BURGER,SMB (AM Segment),32.0%,1,0.0%,€4.80,,,,
491,DOVHI BURCHLYVI OPLESKY,SMB (AM Segment),32.0%,1,0.0%,€27.71,,,,
492,LUTSK KEBAB,SMB (AM Segment),32.0%,4,0.0%,€11.25,32.0%,6,0.0%,€12.25
493,KHMIL,SMB (AM Segment),32.0%,7,0.0%,€20.95,32.0%,5,0.0%,€15.06
494,BILYARDNA,SMB (AM Segment),32.0%,2,0.0%,€22.60,32.0%,2,0.0%,€16.16
